Index;Name;Houses
15085;      Harz, Landkreis;128853
15086;      Jerichower Land, Landkreis;50230
15087;      Mansfeld-SŸdharz, Landkreis;78812
15088;      Saalekreis;99785
15089;      Salzlandkreis;116596
15090;      Stendal, Landkreis;64590
15091;      Wittenberg, Landkreis;71489
151;    Dessau, Stat. Region;-
15101;      Dessau, Kreisfreie Stadt;-
15151;      Anhalt-Zerbst, Kreis;-
15153;      Bernburg, Kreis;-
15154;      Bitterfeld, Kreis;-
15159;      Kšthen, Kreis;-
15171;      Wittenberg, Kreis;-
152;    Halle, Stat. Region;-
15202;      Halle (Saale), Kreisfreie Stadt;-
15256;      Burgenlandkreis;-
15260;      Mansfelder Land, Kreis;-
15261;      Merseburg-Querfurt, Kreis;-
15265;      Saalkreis;-
15266;      Sangerhausen, Kreis;-
15268;      Wei§enfels, Kreis;-
153;    Magdeburg, Stat. Region;-
15303;      Magdeburg, Kreisfreie Stadt;-
15352;      Aschersleben-Sta§furt, Kreis;-
15355;      Bšrdekreis;-
15357;      Halberstadt, Kreis;-
15358;      Jerichower Land, Kreis;-
15362;      Ohrekreis;-
15363;      Stendal, Kreis;-
15364;      Quedlinburg, Kreis;-
15367;      Schšnebeck, Kreis;-
15369;      Wernigerode, Kreis;-
15370;      Altmarkkreis Salzwedel, Kreis;-
16;  ThŸringen;1137478
16051;      Erfurt, krsfr. Stadt;103989
16052;      Gera, krsfr. Stadt;58262
16053;      Jena, krsfr. Stadt;52739
16054;      Suhl, krsfr. Stadt;19905
16055;      Weimar, krsfr. Stadt;34064
16056;      Eisenach, krsfr. Stadt;24300
16061;      Eichsfeld, Kreis;45667
16062;      Nordhausen, Kreis;45086
16063;      Wartburgkreis;62021
16064;      Unstrut-Hainich-Kreis;53286
16065;      KyffhŠuserkreis;41477
16066;      Schmalkalden-Meiningen, Kreis;64161
16067;      Gotha, Kreis;71113
16068;      Sšmmerda, Kreis;34190
16069;      Hildburghausen, Kreis;31485
16070;      Ilm-Kreis;59714
16071;      Weimarer Land, Kreis;41634
16072;      Sonneberg, Kreis;31460
16073;      Saalfeld-Rudolstadt, Kreis;60174
16074;      Saale-Holzland-Kreis;43212
16075;      Saale-Orla-Kreis;44727
16076;      Greiz, Kreis;58071
16077;      Altenburger Land, Kreis;56746
__________;;
