Index,Name,Birthrate/1000 inh,Beds in hospitals (JD)_hospital,20-40 year olds,40-65 year olds,65 year and older,Total_workingAge,Total Unemployed_unemployed,Population density (inh/km2),Kaufsumme - Total (Tsd. EUR)_worthArea,Hospitals_hospital,Avg life exp men,Avg life exp women,Differences in life exp,Spendable Income
3103,Wolfsburg,10.157604095288,575.0,32945,34438,27538,49274.0,3111.0,607.7955803812043,44511,1.0,79.66,83.07,3.4099999999999966,21176
3151,Gifhorn,8.954966849401567,456.0,38482,55800,33301,68443.0,4354.0,111.46551834457341,42413,2.0,79.27,83.07,3.799999999999997,20751
3152,Göttingen,8.257286243462818,3147.0,71065,71416,51536,87670.0,7896.0,228.79478069429652,24556,9.0,79.92,82.65,2.730000000000004,19444
3153,Goslar,6.77826325993229,1103.0,28791,40835,37207,44837.0,5354.0,143.2067047208611,5375,6.0,79.49,81.52,2.030000000000001,19706
3154,Helmstedt,7.836065573770493,773.0,19437,28658,21234,34125.0,3385.0,135.75063424476656,23464,2.0,79.27,81.26,1.990000000000009,21005
3155,Northeim,7.287095243743328,447.0,26454,41912,33147,48518.0,4692.0,106.46210184045206,7124,3.0,79.19,81.53,2.3400000000000034,20473
3156,Osterode am Harz,6.848480747106991,428.0,13092,22548,20579,25103.0,2342.0,116.16773057451024,1316,4.0,78.99,81.46,2.469999999999999,20428
3157,Peine,7.889963724304715,312.0,27460,42180,28048,48920.0,3770.0,247.3409723909752,33060,1.0,79.51,81.62,2.1099999999999994,20021
3158,Wolfenbüttel,7.083756953571222,296.0,24779,38358,27878,42869.0,3494.0,167.4338463241807,20060,1.0,79.73,82.28,2.549999999999997,20293
3241,Region Hannover,9.242617396007446,7064.0,292914,334886,239503,410085.0,47434.0,499.58574509136304,187929,26.0,80.07,83.03,2.960000000000008,20135
3251,Diepholz,7.673757804613601,483.0,44609,68276,46707,80716.0,5132.0,107.62622350538695,40928,4.0,80.11,82.55,2.4399999999999977,21588
3252,Hameln-Pyrmont,7.526250834564104,1109.0,29854,44969,37110,52418.0,5612.0,186.24756641336432,6928,8.0,79.9,82.46,2.559999999999988,20565
3254,Hildesheim,7.8973489018425935,1834.0,61526,84156,63529,97527.0,10152.0,229.72479954893328,32409,7.0,79.53,82.2,2.6700000000000017,19957
3255,Holzminden,6.921670690352921,211.0,14617,21255,18232,24137.0,2652.0,103.45629105608894,4271,2.0,79.67,80.61,0.9399999999999977,20236
3256,Nienburg (Weser),8.040984150142581,317.0,25358,37948,26057,44629.0,3717.0,86.22915430638255,10994,2.0,79.6,82.41,2.8100000000000023,19941
3257,Schaumburg,7.317260540568224,642.0,30943,49013,37789,54286.0,5238.0,231.22104297112065,16065,5.0,79.08,82.27,3.1899999999999977,20598
3351,Celle,8.4676716993218,648.0,38349,52651,40448,61241.0,6583.0,115.17593077963512,16877,1.0,79.3,81.64,2.3400000000000034,19482
3352,Cuxhaven,7.410286568098413,702.0,38612,60466,48247,67534.0,6104.0,96.27025240793475,30611,4.0,80.27,83.28,3.010000000000005,20518
3353,Harburg,8.705394926689289,747.0,51084,79432,54389,93036.0,5800.0,199.28997694834663,107943,5.0,78.14,80.2,2.0600000000000023,24050
3354,Lüchow-Dannenberg,6.5033514203638685,110.0,9662,14810,13122,14691.0,1890.0,41.06328077001843,1614,1.0,79.16,82.02,2.8599999999999994,19035
3355,Lüneburg,8.53811718745677,856.0,43880,55477,35041,63567.0,5676.0,136.52771062492445,49457,4.0,78.73,81.86,3.1299999999999955,19433
3356,Osterholz,7.642257811743368,212.0,22388,36511,25545,41152.0,2420.0,174.51944499930858,20289,2.0,79.53,82.97,3.4399999999999977,21268
3357,Rotenburg (Wümme),8.054982144279126,988.0,36038,50869,33117,61467.0,3823.0,78.84904247868822,27701,4.0,79.11,82.15,3.0400000000000063,20557
